
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
svchost.exe                   9560 Services                   0     39,068 K Unknown         N/A                                                     0:00:08 N/A                                                                     
explorer.exe                  9884 Console                    1    295,896 K Running         DESKTOP-R604OCC\User                                    0:13:14 N/A                                                                     
svchost.exe                  10204 Services                   0     45,332 K Unknown         N/A                                                     0:00:02 N/A                                                                     
TeamViewer.exe               10380 Console                    1     44,356 K Running         DESKTOP-R604OCC\User                                    0:00:21 N/A                                                                     
svchost.exe                  10476 Console                    1     64,384 K Running         DESKTOP-R604OCC\User                                    0:00:08 OLEChannelWnd                                                           
svchost.exe                  10672 Services                   0     30,504 K Unknown         N/A                                                     0:00:01 N/A                                                                     
SearchIndexer.exe            10788 Services                   0     53,912 K Unknown         N/A                                                     0:01:23 N/A                                                                     
NisSrv.exe                   11064 Services                   0     20,156 K Unknown         N/A                                                     0:01:45 N/A                                                                     
tv_w32.exe                   11212 Console                    1      3,624 K Unknown         N/A                                                     0:00:00 N/A                                                                     
tv_x64.exe                   11240 Console                    1      5,604 K Unknown         N/A                                                     0:00:00 N/A                                                                     
StartMenuExperienceHost.e    10284 Console                    1     45,616 K Running         DESKTOP-R604OCC\User                                    0:00:06 Start                                                                   
svchost.exe                  11392 Services                   0     44,468 K Unknown         N/A                                                     0:00:00 N/A                                                                     
RuntimeBroker.exe            11504 Console                    1     17,560 K Unknown         DESKTOP-R604OCC\User                                    0:00:01 N/A                                                                     
SearchApp.exe                11696 Console                    1     72,832 K Running         DESKTOP-R604OCC\User                                    0:00:39 Search                                                                  
RuntimeBroker.exe            12060 Console                    1     48,780 K Running         DESKTOP-R604OCC\User                                    0:00:14 N/A                                                                     
searchbandapp64.exe           9412 Console                    1        844 K Running         DESKTOP-R604OCC\User                                    0:00:00 E48EB5EE80BF4688A5D7451C83AF14F3                                        
ctfmon.exe                   12832 Console                    1     16,260 K Running         DESKTOP-R604OCC\User                                    0:00:35 N/A                                                                     
RuntimeBroker.exe            12940 Console                    1     20,100 K Unknown         DESKTOP-R604OCC\User                                    0:00:13 N/A                                                                     
TextInputHost.exe             8984 Console                    1     49,280 K Running         DESKTOP-R604OCC\User                                    0:00:09 Microsoft Text Input Application                                        
svchost.exe                  13420 Services                   0     23,392 K Unknown         N/A                                                     0:00:02 N/A                                                                     
SecurityHealthSystray.exe    15496 Console                    1      7,164 K Running         DESKTOP-R604OCC\User                                    0:00:00 N/A                                                                     
SecurityHealthService.exe    15528 Services                   0     13,380 K Unknown         N/A                                                     0:00:01 N/A                                                                     
PentabletService.exe         15804 Console                    1      5,844 K Running         DESKTOP-R604OCC\User                                    0:00:00 UGListen                                                                
Discord.exe                   8328 Console                    1     64,320 K Running         DESKTOP-R604OCC\User                                    0:01:17 @Gryis - Discord                                                        
Discord.exe                   7596 Console                    1      9,860 K Running         DESKTOP-R604OCC\User                                    0:00:00 N/A                                                                     
Discord.exe                   9376 Console                    1     66,912 K Running         DESKTOP-R604OCC\User                                    0:03:14 N/A                                                                     
Discord.exe                  15044 Console                    1     20,400 K Unknown         DESKTOP-R604OCC\User                                    0:00:10 N/A                                                                     
Discord.exe                  16864 Console                    1    197,052 K Running         DESKTOP-R604OCC\User                                    0:42:14 OleMainThreadWndName                                                    
Discord.exe                   9128 Console                    1     29,076 K Unknown         DESKTOP-R604OCC\User                                    0:00:02 N/A                                                                     
steam.exe                    17576 Console                    1     81,316 K Running         DESKTOP-R604OCC\User                                    0:31:45 Steam                                                                   
utweb.exe                    17664 Console                    1     16,136 K Running         DESKTOP-R604OCC\User                                    0:00:19 чTorrent Web                                                            
